x,y
47.703468,5.870279
47.103024,5.94276
46.457191,6.009448
45.434666,6.108555
44.724834,6.16383
44.145374,6.203251
43.568806,6.255077
42.894669,6.294291
42.263351,6.342697
40.826607,6.524766
40.196663,6.62812
39.530582,6.720485
38.836769,6.832977
38.279804,6.925006
37.667831,7.007459
36.735977,7.125427
35.84948,7.250955
34.842701,7.339887
34.253239,7.405028
33.652191,7.459761
32.883621,7.51373
32.192661,7.559966
31.368311,7.602557
30.598675,7.675634
29.371426,7.744678
28.644541,7.771704
27.450649,7.702712
26.864719,7.652088
26.16189,7.552629
25.605417,7.433641
24.651932,7.222389
23.767767,7.001825
22.367292,6.667831
21.049055,6.378159
20.366974,6.246403
19.776388,6.1162
18.747419,5.929804
18.170235,5.812613
17.266628,5.627468
16.025015,5.361525
15.359618,5.210514
13.80553,4.868704
13.208046,4.698489
11.902828,4.372965
11.150761,4.177402
8.827857,3.563648
8.251803,3.430757
7.229837,3.183657
6.228039,3.028069
5.457181,2.920238
4.910995,2.841053
3.828466,2.529863
3.227068,2.252882
2.593785,1.834731
2.120299,1.439308
1.458726,0.749681
0.85513,-0.070901
0.554623,-0.578565
0.277208,-1.147055
0.049114,-1.929978
-0.049922,-2.745382
-0.078133,-3.482742
-0.058331,-4.083706
-0.022495,-4.788263
-0.045772,-5.37325
-0.0602,-5.70071
